site_no,Flashiness,DIVISION,PROVINCE,SECTION,station_nm,DRAIN_SQKM,huc_cd,LAT_GAGE,LNG_GAGE,STATE,alt_va,geometry
01439500,0.18873560698104386,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01440000,0.2789637250726417,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01451800,0.3597400289978895,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01516500,0.480260803669602,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01539000,0.30164819746384525,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Fishing Creek near Bloomsburg, PA",701.7795,02050107,41.078141,-76.431056,PA,543.84,"c(1619605.8865, 2175084.2697)"
01542810,0.4361831953962363,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"Waldy Run near Emporium, PA",13.6242,02050202,41.578952,-78.292512,PA,1263.62,"c(1457041.2756, 2199940.7922)"
01543000,0.3245153107628364,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"Driftwood Br Sinnemahoning Cr at Sterling Run, PA",705.4974,02050202,41.413396,-78.196952,PA,894.84,"c(1468263.3415, 2183204.367)"
01543500,0.2942940421470273,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Sinnemahoning Creek at Sinnemahoning, PA",1778.258,02050202,41.317285,-78.10306,PA,769.36,"c(1477929.5222, 2174090.5307)"
01544500,0.2568071953997627,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Kettle Creek at Cross Fork, PA",355.0644,02050203,41.475899,-77.825825,PA,1027.12,"c(1497171.2271, 2195865.7562)"
01545600,0.21084158253121066,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Young Womans Creek near Renovo, PA",119.9975,02050203,41.389512,-77.690819,PA,780.41,"c(1510006.8813, 2188509.9509)"
01547700,0.32676600755926277,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Marsh Creek at Blanchard, PA",113.5386,02050204,41.059509,-77.605826,PA,586.16,"c(1524035.1377, 2153608.922)"
01548500,0.2520139311938925,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Pine Creek at Cedar Run, PA",1557.047,02050205,41.521736,-77.44748,PA,780.36,"c(1526950.9439, 2206920.2648)"
01549500,0.3404167771887439,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Blockhouse Creek near English Center, PA",97.4853,02050205,41.473683,-77.230809,PA,1041.85,"c(1545608.0665, 2205148.0563)"
01550000,0.3307493708755056,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Lycoming Creek near Trout Run, PA",452.6757,02050206,41.41841,-77.032746,PA,693.95,"c(1562928.807, 2202322.1734)"
01552000,0.33466408187162305,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Loyalsock Creek at Loyalsockville, PA",1129.486,02050206,41.325078,-76.912464,PA,586.33,"c(1574791.2779, 2194069.3386)"
01552500,0.39671737534824486,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Muncy Creek near Sonestown, PA",60.6384,02050206,41.357024,-76.534671,PA,1025.01,"c(1604800.4264, 2203892.1054)"
01557500,0.2907334759143809,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bald Eagle Creek at Tyrone, PA",115.2963,02050302,40.683673,-78.233624,PA,921.8,"c(1480460.2954, 2102356.0775)"
01564500,0.38075344132669653,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Aughwick Creek near Three Springs, PA",445.5612,02050304,40.212581,-77.925276,PA,618.65,"c(1515823.1468, 2055381.4887)"
01567500,0.3672236738126031,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bixler Run near Loysville, PA",38.7729,02050305,40.370916,-77.402209,PA,601.22,"c(1555687.2091, 2081243.4054)"
01568000,0.3633410163259363,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Sherman Creek at Shermans Dale, PA",534.3948,02050305,40.323419,-77.16887,PA,422.63,"c(1575998.7059, 2079870.0507)"
01596500,0.35219119444680247,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"SAVAGE RIVER NEAR BARTON, MD",124.6505,02070002,39.570056,-79.101944,MD,1603.44,"c(1430956.2406, 1966356.2126)"
01605500,0.3087789528464552,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"SOUTH BRANCH POTOMAC RIVER AT FRANKLIN, WV",463.8492,02070001,38.635672,-79.33782,WV,1692.92,"c(1429455.9345, 1859709.8801)"
01606500,0.3009099046290106,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"SOUTH BRANCH POTOMAC RIVER NEAR PETERSBURG, WV",1684.547,02070001,38.991221,-79.175871,WV,965.88,"c(1436186.5966, 1901386.3138)"
01620500,0.3663174448743724,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"NORTH RIVER NEAR STOKESVILLE, VA",44.74026,02070005,38.337626,-79.240036,VA,2050.67,"c(1443619.0916, 1828296.0818)"
01632000,0.4526551208646382,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"N F SHENANDOAH RIVER AT COOTES STORE, VA",543.357,02070006,38.637063,-78.852803,VA,1050.68,"c(1470591.752, 1867263.6716)"
01632900,0.30466864357643986,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"SMITH CREEK NEAR NEW MARKET, VA",245.0484,02070006,38.69345,-78.642794,VA,880.84,"c(1487255.3143, 1876748.2988)"
01634500,0.4263230852355053,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"CEDAR CREEK NEAR WINCHESTER, VA",263.9817,02070006,39.081218,-78.329449,VA,646.2,"c(1505762.0206, 1924409.1627)"
02011400,0.3138393254077773,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"JACKSON RIVER NEAR BACOVA, VA",407.7162,02080201,38.042347,-79.881444,VA,1639.07,"c(1394499.545, 1786115.8192)"
02011460,0.43335717884129765,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"BACK CREEK NEAR SUNRISE, VA",156.3408,02080201,38.245401,-79.768663,VA,2199.81,"c(1400293.7246, 1810204.5815)"
02013000,0.440988181021167,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"DUNLAP CREEK NEAR COVINGTON, VA",424.7766,02080201,37.802902,-80.047004,VA,1294.29,"c(1384795.5435, 1757238.7682)"
02014000,0.30387431970120493,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"POTTS CREEK NEAR COVINGTON, VA",396.783,02080201,37.729014,-80.04228,VA,1273.48,"c(1386585.7885, 1749142.8745)"
02015700,0.3572330514340382,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"BULLPASTURE RIVER AT WILLIAMSVILLE, VA",285.4062,02080201,38.195403,-79.570323,VA,1610.14,"c(1418198.9698, 1807624.2226)"
02016000,0.3772974603240657,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"COWPASTURE RIVER NEAR CLIFTON FORGE, VA",1194.551,02080201,37.791796,-79.759492,VA,1007.02,"c(1409723.4469, 1760239.0566)"
02017500,0.2947079225619268,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"JOHNS CREEK AT NEW CASTLE, VA",276.1497,02080201,37.50624,-80.106715,VA,1254.1,"c(1385195.4212, 1723585.8241)"
02018000,0.3223664939238886,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"CRAIG CREEK AT PARR, VA",852.3431,02080201,37.665962,-79.911439,VA,992.17,"c(1399037.0233, 1744094.0469)"
02027500,0.23174583159288506,APPALACHIAN HIGHLANDS,BLUE RIDGE,NORTHERN,"PINEY RIVER AT PINEY RIVER, VA",123.3423,02080203,37.702363,-79.027525,VA,630.8,"c(1474378.7253, 1761475.2275)"
02028500,0.29404491015040624,APPALACHIAN HIGHLANDS,BLUE RIDGE,NORTHERN,"ROCKFISH RIVER NEAR GREENFIELD, VA",245.4534,02080203,37.869585,-78.823354,VA,527.6,"c(1488553.3541, 1783098.35)"
02053800,0.3103667930206212,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"S F ROANOKE RIVER NEAR SHAWSVILLE, VA",280.7226,03010101,37.140132,-80.266433,VA,1364.19,"c(1378164.5513, 1680803.1555)"
02055100,0.32591269780802057,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"TINKER CREEK NEAR DALEVILLE, VA",30.5352,03010101,37.417633,-79.935319,VA,1216.8,"c(1401662.4185, 1716308.9395)"
02111180,0.3000004225810477,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"ELK CREEK AT ELKVILLE, NC",131.4666,03040101,36.071389,-81.403056,NC,1081.78,"c(1297735.9528, 1546593.5694)"
02137727,0.26631178028643615,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"CATAWBA R NR PLEASANT GARDENS, NC",329.544,03050101,35.685833,-82.060278,NC,1233.81,"c(1246045.3556, 1495111.3009)"
02149000,0.27143973664963783,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"COVE CREEK NEAR LAKE LURE, NC",203.8527,03050105,35.423454,-82.111498,NC,815.28,"c(1245776.8142, 1465382.4184)"
02177000,0.18995211164219716,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"CHATTOOGA RIVER NEAR CLAYTON, GA",526.7736,03060102,34.813981,-83.305993,GA,1165.5,"c(1148383.3082, 1382801.5584)"
02178400,0.20916343968131682,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"TALLULAH RIVER NEAR CLAYTON, GA",151.2753,03060102,34.890371,-83.530441,GA,1868.93,"c(1127077.9158, 1388585.2693)"
02395120,0.3789700855590708,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,TENNESSEE,"TWO RUN CREEK NEAR KINGSTON, GA",84.0105,03150104,34.242778,-84.889722,GA,723.2,"c(1013259.8299, 1301410.3708)"
02450250,0.5769036009697198,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,CUMBERLAND PLATEAU,SIPSEY FORK NEAR GRAYSON AL,231.8252,03160110,34.285378,-87.398908,AL,540,"c(784707.870700002, 1282410.1434)"
03010655,0.24379321967424017,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"Oswayo Creek at Shinglehouse, PA",254.4417,05010001,41.961732,-78.198066,PA,1460.34,"c(1456745.6102, 2243473.1654)"
03011800,0.29397605629281676,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"Kinzua Creek near Guffey, PA",100.0953,05010001,41.766451000000004,-78.71864,PA,1540,"c(1418575.5706, 2214120.9177)"
03015500,0.32647540192381685,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"Brokenstraw Creek at Youngsville, PA",784.8513,05010001,41.852559,-79.317271,PA,1186.3,"c(1368268.1695, 2214824.4251)"
03026500,0.33357929774572725,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"Sevenmile Run near Rasselas, PA",20.3058,05010005,41.631173,-78.57669,PA,1690.73,"c(1432857.3163, 2201364.5607)"
03028000,0.2843246181388527,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"West Branch Clarion River at Wilcox, PA",161.1102,05010005,41.57534,-78.692249,PA,1502.02,"c(1424591.323, 2193482.822)"
03049000,0.366093653362767,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"Buffalo Creek near Freeport, PA",357.1533,05010009,40.715898,-79.699494,PA,792,"c(1358949.406, 2084008.4407)"
03049800,0.5083629383059349,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"Little Pine Creek near Etna, PA",14.8878,05010009,40.520346,-79.938108,PA,774.26,"c(1342931.9787, 2059030.1236)"
03066000,0.3823039112387136,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"BLACKWATER RIVER AT DAVIS, WV",222.7851,05020004,39.127052,-79.468385,WV,3059.3,"c(1408835.8338, 1911998.0988)"
03069500,0.40137446902605056,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"CHEAT RIVER NEAR PARSONS, WV",1856.853,05020004,39.122884,-79.681174,WV,1589.8,"c(1390961.4224, 1908403.2961)"
03070500,0.4018455141795149,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"BIG SANDY CREEK AT ROCKVILLE, WV",517.3794,05020004,39.615638,-79.704774,WV,1322.4,"c(1379546.6654, 1962472.6597)"
03076600,0.3172406971778684,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"BEAR CREEK AT FRIENDSVILLE, MD",127.3991,05020006,39.656139,-79.394111,MD,1550.83,"c(1404792.5304, 1971494.5684)"
03078000,0.36964995394850364,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"CASSELMAN RIVER AT GRANTSVILLE, MD",161.4825,05020006,39.702194,-79.136389,MD,2088.56,"c(1425456.2348, 1980413.5393)"
03140000,0.48441420600496155,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,Mill Creek near Coshocton OH,70.3458,05040003,40.362846,-81.862356,OH,781.16,"c(1185931.3739, 2016005.1383)"
03144000,0.4636547774643713,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,Wakatomika Creek near Frazeysburg OH,363.4146,05040004,40.132568,-82.14792,OH,735.46,"c(1165895.7051, 1986952.3817)"
03161000,0.20962302354937545,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"SOUTH FORK NEW RIVER NEAR JEFFERSON, NC",527.8624,05050001,36.393333,-81.406944,NC,2656.8,"c(1291877.6829, 1582174.2665)"
03164000,0.21150151278199913,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"NEW RIVER NEAR GALAX, VA",2952.736,05050001,36.64735,-80.978969,VA,2207.06,"c(1324974.5715, 1616177.2748)"
03165000,0.3143943298090681,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"CHESTNUT CREEK AT GALAX, VA",101.9961,05050001,36.645961,-80.919244,VA,2344.8,"c(1330223.1252, 1616858.0238)"
03170000,0.2601241593939032,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"LITTLE RIVER AT GRAYSONTOWN, VA",794.6403,05050001,37.037626,-80.556724,VA,1815.6,"c(1354821.514, 1665297.0543)"
03173000,0.31592224639811217,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"WALKER CREEK AT BANE, VA",773.3151,05050002,37.268178,-80.709512,VA,1665.92,"c(1337395.1856, 1688630.6558)"
03180500,0.365134163128954,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"GREENBRIER RIVER AT DURBIN, WV",345.0564,05050003,38.543727,-79.833115,WV,2699.42,"c(1389126.2073, 1842212.3177)"
03182500,0.4130146752660739,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"GREENBRIER RIVER AT BUCKEYE, WV",1364.974,05050003,38.185953,-80.130623,WV,2085.7,"c(1370468.8059, 1798359.5167)"
03186500,0.4397183350876214,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"WILLIAMS RIVER AT DYER, WV",329.6805,05050005,38.378999,-80.483974,WV,2193.9,"c(1336711.2885, 1814670.0522)"
03213700,0.2892923521927863,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"TUG FORK AT WILLIAMSON, WV",2425.06,05070201,37.673157,-82.280141,KY,619.91,"c(1194500.4093, 1712566.9947)"
03237280,0.6297167634592944,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,Upper Twin Creek at McGaw OH,32.9542,05090201,38.643687,-83.215736,OH,541.88,"c(1098964.6892, 1809003.2592)"
03280700,0.5398650175970103,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"CUTSHIN CREEK AT WOOTON, KY",158.2227,05100202,37.165093,-83.307956,KY,869.29,"c(1113151.0836, 1643698.8061)"
03281500,0.4554210321092796,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,CUMBERLAND PLATEAU,"SOUTH FORK KENTUCKY RIVER AT BOONEVILLE, KY",1838.22,05100203,37.47981,-83.675192,KY,641.91,"c(1076565.1823, 1674431.2032)"
03439000,0.2221466135453215,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"FRENCH BROAD RIVER AT ROSMAN, NC",178.6674,06010105,35.143333,-82.824722,NC,2173.96,"c(1186555.735, 1425222.1244)"
03455500,0.3591725446595232,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"W F PIGEON R ABOVE LAKE LOGAN NR HAZELWOOD, NC",72.9522,06010106,35.396111,-82.9375,NC,2976.24,"c(1172587.1529, 1451842.7396)"
03456500,0.2678672623646748,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"EAST FORK PIGEON RIVER NEAR CANTON, NC",133.4268,06010106,35.461667,-82.869722,NC,2674.41,"c(1177622.1346, 1459948.9615)"
03460000,0.21024141505271854,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"CATALOOCHEE CREEK NEAR CATALOOCHEE, NC",127.019,06010106,35.6675,-83.073611,NC,2457.3,"c(1156325.1655, 1480270.951)"
03463300,0.3427037160403337,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"SOUTH TOE RIVER NEAR CELO, NC",112.1589,06010108,35.831507,-82.184287,NC,2656.52,"c(1232676.2064, 1509630.4437)"
03471500,0.23879037510562834,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,TENNESSEE,"S F HOLSTON RIVER AT RIVERSIDE, NEAR CHILHOWIE, VA",198.1611,06010102,36.760393,-81.631229,VA,2106.71,"c(1265981.6304, 1619799.2605)"
03473000,0.24459522736980635,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,TENNESSEE,"S F HOLSTON RIVER NEAR DAMASCUS, VA",784.8126,06010102,36.651781,-81.84401,VA,1792.3,"c(1249180.0176, 1604952.1834)"
03479000,0.34068287298890065,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"WATAUGA RIVER NEAR SUGAR GROVE, NC",235.6011,06010103,36.239167,-81.822222,NC,2607.68,"c(1257958.2245, 1559532.7368)"
03488000,0.3329982203787989,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,TENNESSEE,"N F HOLSTON RIVER NEAR SALTVILLE, VA",578.206,06010101,36.896781,-81.746229,VA,1703.53,"c(1253642.428, 1633382.7211)"
03498500,0.33188316353467584,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,TENNESSEE,"LITTLE RIVER NEAR MARYVILLE, TN",696.7582,06010201,35.785621,-83.884604,TN,850,"c(1082503.473, 1483828.2624)"
03500000,0.19765268569037772,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"LITTLE TENNESSEE RIVER NEAR PRENTISS, NC",361.1439,06010202,35.15,-83.379722,NC,2008.24,"c(1136774.7626, 1419177.0603)"
03500240,0.22828243525981493,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"CARTOOGECHAYE CREEK NEAR FRANKLIN, NC",145.8639,06010202,35.158889,-83.394167,NC,2017.18,"c(1135349.7638, 1419990.3275)"
03504000,0.19650802442845677,APPALACHIAN HIGHLANDS,BLUE RIDGE,SOUTHERN,"NANTAHALA RIVER NEAR RAINBOW SPRINGS, NC",134.5167,06010202,35.1275,-83.618611,NC,3073.07,"c(1115706.9577, 1413849.9605)"
03574500,0.4446288062528896,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,CUMBERLAND PLATEAU,PAINT ROCK RIVER NEAR WOODVILLE AL,813.8025,06030002,34.624255,-86.306374,AL,570.95,"c(880198.805100001, 1329698.7568)"
04221000,0.3342446182558046,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,GENESEE RIVER AT WELLSVILLE NY,750.879,04130002,42.12229,-77.957225,NY,1469.51,"c(1472828.8002, 2264826.4566)"
